sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0121,R034,Living room,cold water consumption,Washbasin,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0121,https://w3id.org/eautonome/hsbMeasurementPointS0121,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0121,https://w3id.org/eautonome/hsbColdWater
S0122,R035,Living room,hot water consumption,Washbasin,APT_027,CL_D,https://w3id.org/eautonome/hsbSensorS0122,https://w3id.org/eautonome/hsbMeasurementPointS0122,https://w3id.org/eautonome/hsbRoomR035,https://w3id.org/eautonome/hsbAssetS0122,https://w3id.org/eautonome/hsbHotWater
S0123,R035,Living room,cold water consumption,Washbasin,APT_027,CL_D,https://w3id.org/eautonome/hsbSensorS0123,https://w3id.org/eautonome/hsbMeasurementPointS0123,https://w3id.org/eautonome/hsbRoomR035,https://w3id.org/eautonome/hsbAssetS0123,https://w3id.org/eautonome/hsbColdWater
S0124,R035,Living room,cold water consumption,Kitchen tap,APT_027,CL_D,https://w3id.org/eautonome/hsbSensorS0124,https://w3id.org/eautonome/hsbMeasurementPointS0124,https://w3id.org/eautonome/hsbRoomR035,https://w3id.org/eautonome/hsbAssetS0124,https://w3id.org/eautonome/hsbColdWater
S0125,R035,Living room,cold water consumption,Kitchen tap,APT_027,CL_D,https://w3id.org/eautonome/hsbSensorS0125,https://w3id.org/eautonome/hsbMeasurementPointS0125,https://w3id.org/eautonome/hsbRoomR035,https://w3id.org/eautonome/hsbAssetS0125,https://w3id.org/eautonome/hsbColdWater
S0126,R034,Living room,hot water consumption,Kitchen tap,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0126,https://w3id.org/eautonome/hsbMeasurementPointS0126,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0126,https://w3id.org/eautonome/hsbHotWater
S0127,R034,Living room,cold water consumption,Kitchen tap,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0127,https://w3id.org/eautonome/hsbMeasurementPointS0127,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0127,https://w3id.org/eautonome/hsbColdWater
S0128,R033,Living room,hot water consumption,Kitchen tap,APT_024,CL_D,https://w3id.org/eautonome/hsbSensorS0128,https://w3id.org/eautonome/hsbMeasurementPointS0128,https://w3id.org/eautonome/hsbRoomR033,https://w3id.org/eautonome/hsbAssetS0128,https://w3id.org/eautonome/hsbHotWater
S0129,R034,Living room,cold water consumption,Kitchen tap,APT_004,CL_D,https://w3id.org/eautonome/hsbSensorS0129,https://w3id.org/eautonome/hsbMeasurementPointS0129,https://w3id.org/eautonome/hsbRoomR034,https://w3id.org/eautonome/hsbAssetS0129,https://w3id.org/eautonome/hsbColdWater
S0130,R035,Living room,cold water consumption,Toilet,APT_027,CL_D,https://w3id.org/eautonome/hsbSensorS0130,https://w3id.org/eautonome/hsbMeasurementPointS0130,https://w3id.org/eautonome/hsbRoomR035,https://w3id.org/eautonome/hsbAssetS0130,https://w3id.org/eautonome/hsbColdWater
